train_id,station
1518,Brussel-Centraal
1519,Beernem
1518,Brussel-Congres
1543,Kiewit
1519,Maria-Aalter
1542,Leuven
1518,Brussel-Noord
1541,Gent-Sint-Pieters
1542,Herent
1519,Aalter
1517,Alken
1542,Veltem
1541,Drongen
1518,Schaarbeek
1519,Bellem
1542,Erps-Kwerps
1519,Hansbeke
1542,Kortenberg
1541,Landegem
1518,Haren-Zuid
1543,Hasselt
1518,Diegem
1542,Nossegem
1518,Zaventem
1541,Hansbeke
1542,Zaventem
1542,Diegem
1519,Landegem
1541,Bellem
1518,Nossegem
1519,Drongen
1518,Kortenberg
1542,Haren-Zuid
1518,Erps-Kwerps
1541,Aalter
1543,Alken
1518,Veltem
1542,Schaarbeek
1517,Hasselt
1518,Herent
1541,Maria-Aalter
1542,Brussel-Noord
1541,Beernem
1519,Gent-Sint-Pieters
1542,Brussel-Congres
1518,Leuven
1517,Kiewit
1541,Oostkamp
1543,Sint-Truiden
1542,Brussel-Centraal
1542,Brussel-Kapellekerk
1517,Bokrijk
1518,Vertrijk
1542,Brussel-Zuid
1541,Brugge
1543,Landen
1520,Blankenberge
1518,Tienen
1541,Brugge-Sint-Pieters
1542,Anderlecht
1543,Neerwinden
1543,Ezemaal
1544,Genk
1518,Ezemaal
1518,Neerwinden
1520,Brugge-Sint-Pieters
1519,Anderlecht
1518,Landen
1543,Tienen
1544,Bokrijk
1520,Brugge
1543,Vertrijk
1544,Kiewit
1519,Brussel-Zuid
1519,Brussel-Kapellekerk
1520,Oostkamp
1518,Sint-Truiden
1519,Brussel-Centraal
1520,Beernem
1519,Brussel-Congres
1520,Maria-Aalter
1543,Leuven
1519,Brussel-Noord
1542,Gent-Sint-Pieters
1520,Aalter
1518,Alken
1543,Herent
1543,Veltem
1519,Schaarbeek
1520,Bellem
1542,Drongen
1543,Erps-Kwerps
1520,Hansbeke
1519,Haren-Zuid
1544,Hasselt
1542,Landegem
1543,Kortenberg
1543,Nossegem
1519,Diegem
1543,Zaventem
1519,Zaventem
1542,Hansbeke
1520,Landegem
1543,Diegem
1519,Nossegem
1542,Bellem
1543,Haren-Zuid
1518,Hasselt
1519,Kortenberg
1520,Drongen
1519,Erps-Kwerps
1519,Veltem
1544,Alken
1542,Aalter
1543,Schaarbeek
1519,Herent
1542,Maria-Aalter
1518,Kiewit
1520,Gent-Sint-Pieters
1543,Brussel-Noord
1542,Beernem
1519,Leuven
1543,Brussel-Congres
1544,Sint-Truiden
1542,Oostkamp
1543,Brussel-Centraal
1518,Bokrijk
1543,Brussel-Kapellekerk
1519,Vertrijk
1543,Brussel-Zuid
1542,Brugge
1544,Landen
1521,Blankenberge
1519,Tienen
1542,Brugge-Sint-Pieters
1543,Anderlecht
1544,Neerwinden
1544,Ezemaal
1519,Ezemaal
1521,Brugge-Sint-Pieters
1519,Neerwinden
1520,Anderlecht
1519,Landen
1544,Tienen
1545,Genk
1544,Vertrijk
1520,Brussel-Zuid
1545,Bokrijk
1520,Brussel-Kapellekerk
1519,Sint-Truiden
1520,Brussel-Centraal
1545,Kiewit
1520,Brussel-Congres
1544,Leuven
1543,Gent-Sint-Pieters
1520,Brussel-Noord
1519,Alken
1544,Herent
1544,Veltem
1543,Drongen
1520,Schaarbeek
1544,Erps-Kwerps
1545,Hasselt
1543,Landegem
1520,Haren-Zuid
1544,Kortenberg
1520,Diegem
1544,Nossegem
1520,Zaventem
1544,Zaventem
1543,Hansbeke
1543,Bellem
1520,Nossegem
1544,Diegem
1520,Kortenberg
1544,Haren-Zuid
1519,Hasselt
1520,Erps-Kwerps
1545,Alken
1520,Veltem
1544,Schaarbeek
1543,Aalter
1520,Herent
1543,Maria-Aalter
1543,Beernem
1544,Brussel-Noord
1519,Kiewit
1544,Brussel-Congres
1520,Leuven
1545,Sint-Truiden
1543,Oostkamp
1544,Brussel-Centraal
1519,Bokrijk
1544,Brussel-Kapellekerk
1520,Vertrijk
1544,Brussel-Zuid
1543,Brugge
1545,Landen
1522,Blankenberge
1520,Tienen
1543,Brugge-Sint-Pieters
1544,Anderlecht
1545,Neerwinden
1545,Ezemaal
1520,Ezemaal
1522,Brugge-Sint-Pieters
1520,Neerwinden
1520,Landen
1545,Tienen
1545,Vertrijk
1520,Sint-Truiden
1545,Leuven
1520,Alken
1545,Herent
1544,Gent-Sint-Pieters
1545,Veltem
1544,Drongen
1545,Erps-Kwerps
1545,Kortenberg
1545,Nossegem
1544,Landegem
1545,Zaventem
1545,Diegem
1544,Hansbeke
1544,Bellem
1520,Hasselt
1545,Haren-Zuid
1545,Schaarbeek
1544,Aalter
1544,Maria-Aalter
1520,Kiewit
1545,Brussel-Noord
1544,Beernem
1545,Brussel-Congres
1544,Oostkamp
1545,Brussel-Centraal
1520,Bokrijk
1545,Brussel-Kapellekerk
1545,Brussel-Zuid
1545,Gent-Sint-Pieters
1545,Drongen
1545,Landegem
1545,Hansbeke
1545,Bellem
1545,Aalter
1545,Maria-Aalter
1545,Beernem
1545,Oostkamp
1543,Blankenberge
1538,Blankenberge
1537,Blankenberge
1532,Blankenberge
1545,Brugge
1528,Blankenberge
1542,Blankenberge
1527,Blankenberge
1504,Genk
1536,Blankenberge
1535,Blankenberge
1522,Brugge
