station,arrival_delay,departure_delay,min_arrival_delay,min_departure_delay,max_arrival_delay,max_departure_delay
Gent-Dampoort,2.7156603924870207,3.1211983575573657,-6,-2,164,165
Gent-Sint-Pieters,3.0149345228580056,2.6951419875975378,-58,-58,287,262
Gent-Zeehaven,8.4384615384615385,7.0367521367521368,-1,-3,101,101
Genval,2.3826080025506137,2.6658682318104907,-6,-6,97,97
Geraardsbergen,3.2541142068069206,1.914463808675741,-3,0,90,89
Ghlin,3.0663962443075833,3.2636976889444097,-3,-3,134,134
Glaaien,2.526782618118769,2.408579945799458,-1,0,56,56
Godarville,1.0710454700079374,1.922706240830606,-4,-4,79,112
Godinne,1.0571550708036589,1.912984678310491,-2,-1,89,90
Gontrode,2.639872311827957,3.3703641411714454,0,-5,70,71
Gouy-lez-Piéton,0.934001742028326895,1.874145130346462,-6,-6,79,80
Graide,1.5351433632237352,1.8841038118410381,-13,-13,89,90
Groenendaal,2.7374137596386286,3.2321709523683677,-4,-4,108,110
Groot-Bijgaarden,2.0855160136343694,2.8684048410380367,-10,-6,81,81
Grupont,1.790568567852673,2.8885425968923022,-3,0,56,56
Haacht,2.1342219551282051,2.3808218089333969,-7,-7,115,115
Haacht-Wijkspoor,2.0755905133015827,2.0655224670451265,-7,-7,153,153
Haaltert,2.7674962754070448,2.8208286793255678,-4,-4,138,138
Habay,0.658071219950572905,1.4561116690845516,-1,-1,56,56
Hainin,1.912767024370675,3.5828521785618819,-7,-7,59,107
Halanzy,1.3244901528666877,2.4372680107246074,-3,-4,72,74
Halle,2.5547695301150146,2.8438143858480151,-4,-4,163,164
Halle-Goederen,1.5925062282012955,1.5925062282012955,0,0,71,71
Hambos,1.857548977343488,2.2680906164339899,-6,-6,154,154
Hamoir,4.2752921370568429,4.3398287467828153,-1,-1,73,73
Hamont,4.7498223039215686,0.79604029705381056667,-3,0,75,43
Ham-sur-Heure,1.47129708470178,2.5485737916565803,-1,0,77,77
Ham-sur-Sambre,1.9181709199140164,1.9181709199140164,-2,-2,87,87
Hansbeke,2.4069981867323549,2.5911340118019328,-36,-36,262,262
Harchies,1.9967393000156014,1.9990578466552256,-7,-7,98,98
Harelbeke,2.7746807314745827,3.014005141656553,-57,-57,90,89
Haren,1.6621267882592773,2.0370714770563395,-3,-3,87,88
Haren-Zuid,2.779155589445555,2.9344770501814988,-16,-16,164,164
Hasselt,3.8705005151564449,2.4625386389850058,-25,-2,144,103
Hasselt-Aflos L.35/1,3.9621212121212121,3.9621212121212121,-3,-3,12,12
Hasselt-Afwisseling,12.4577380952380952,11.7635802469135802,0,0,144,144
Hatrival,1.9816917182434424,1.9443322706340772,-5,-15,55,55
Haute-Flône,2.5501236066900754,2.8956283794854989,-2,-2,150,150
Haversin,0.21441642362898152833,1.7428122500285682,-2,-1,39,43
Haversin-Garage,0.93860277398817644333,0.93860277398817644333,-2,-2,42,42
Havinnes,2.3826205040371911,2.3814904552129222,-2,-2,200,200
Havré,1.6281537105468353,2.0910116041264138,-3,-3,93,93
Heide,2.2412370386483939,2.6568532608695652,-2,0,95,95
