station,avg_delay
Solre-sur-Sambre,3.3590482954545455
Lens,3.3705831521436138
Welkenraedt,3.3914806164273774
Aarsele,3.4217891928297586
Comblain-la-Tour,3.4367360488663148
Charleroi-Faisceau A,3.480829420970266
Oostende,3.512924907718583
Essen,3.5193750452603375
Oostende-T.W.,3.5208333333333333
Kortrijk-Goederen,3.6
Wezet,3.6101289134438306
De Panne,3.6161680911680912
Oostende-Zeehaven,3.6166666666666667
Overpelt,3.6261207551581039
Lommel,3.6274686210831212
Oostende-Perron T.O.P.,3.6508527131782946
Landen,3.8691974092094188
Hasselt,3.8705005151564449
Kiewit,3.9166158837635774
Turnhout,3.95577966873271
Hasselt-Aflos L.35/1,3.9621212121212121
Zandbergen,3.9749270669233911
Sint-Truiden,4.0155616942909761
Alken,4.047215945042032
Quiévrain,4.0903108117589279
Hamoir,4.2752921370568429
Eupen,4.3584366391184573
Blankenberge,4.6611804430037817
Hamont,4.7498223039215686
Papegem,4.9779537456008044
Schaarbeek-Sas K/C,5.3392592592592593
Genk,5.6556490047659097
Châtelet-Formation,5.8459259259259259
Jemeppe-Froidmont,6.81875
Chapelle-Dieu,6.84375
Melle-T.W.,6.8564102564102564
Mazy,7.275
Machelen,7.8865907653383934
Schaarbeek-Perron P.C.I.,8.0167316439246264
Gent-Zeehaven,8.4384615384615385
Montzen-Est,8.8811594202898551
Liège-Guillemins-Faisceau,9.5166666666666667
Kinkempois-Formation,10.3050561797752809
Muizen-Goederen,10.6137254901960784
Antwerpen-Dam,10.8187810945273632
Antwerpen-Oost,11.2067901234567901
Schaarbeek-P.C.I.,11.5753968253968254
Hasselt-Afwisseling,12.4577380952380952
Aalst-Oost,13.5666666666666667
Merelbeke-Sas T.W.,18.0083333333333333
Antwerpen-Kiel,26.05
