station,num_trains,avg_arrival_delay,avg_departure_delay
Mévergnies-Attre,86,2.8314143865227457,3.5370478494175216
Milmort,232,1.2443472857707733,1.637492252386265
Moensberg,351,1.3455554560916659,2.256584389593062
Moeskroen,94,2.3279911719138238,2.6558914663763504
Mol,104,3.1267450380706617,3.6801613337770805
Mollem,147,2.6399094063222822,3.115494311809005
Momalle,131,2.5946095200860131,3.0439782003030451
Mont-Saint-Guibert,104,2.6507050292083529,2.7111429593125258
Montzen-Est,4,8.8811594202898551,8.8811594202898551
Moortsele,38,1.9500067025925628,2.7169962109083147
Morlanwelz,111,1.6533278786887034,2.0147470257550007
Mortsel,450,1.9344937541928855,2.3480594768748145
Mortsel-Deurnesteenweg,316,2.8042746522879101,2.8436703642149474
Mortsel-Liersesteenweg,438,1.9767256890144445,2.9387926416926116
Mortsel-Oude God,316,2.5648004017072558,2.8900523678098804
Moustier,143,1.4156216756538645,1.8029174902994363
Moustier-Garage,143,1.8158935322835224,1.8171071467900011
Mouterij,322,1.9059312409663432,2.4332339796479648
Muizen,185,1.9481607345138019,2.3119326710027875
Muizen-Goederen,16,10.6137254901960784,3.7388888888888889
Munkzwalm,126,2.3940704390942085,2.7245429377017389
Namêche,105,2.6991497052608164,2.8895986800439985
Namen,339,1.6552997107632583,1.9118145556131559
Namur-Herbatte,259,1.6223123551435193,1.6223252326878417
Naninne,33,1.4346895292207792,1.9014069373090225
Natoye,33,0.86796193363651676,1.8625025247424763
Neerpelt,35,3.1433443738250828,3.7264146159582401
Neerwinden,253,3.2768121500028866,3.2201316744170707
Nessonvaux,130,2.3749538514995548,2.7290794186713415
Neufchâteau,31,0.56022967663946811667,1.3777752648045535
Neufvilles,139,2.1410320249951181,2.3830450417504724
Neufvilles-Garage,139,2.3278048840138425,2.3278048840138425
Niel,87,1.3151017014199821,2.655270092226614
Nieuwkerken-Waas,208,2.0881580661305472,2.3151566559053553
Nijlen,141,2.6864697013525478,2.7605273302319062
Nijvel,253,2.6086977789636242,2.8675379009219582
Nimy,109,1.8032338813341452,2.2390883152327142
Ninove,39,2.7056939085700924,2.805033655253146
Ninove-Wijkspoor,39,2.5592885144227956,2.5592885144227956
Noorderkempen,25,2.2211732973701956,2.9285677285677286
Nossegem,449,2.9209855626250428,3.0784339335417098
Obaix-Buzet,144,3.2806162598060712,3.5249583470149708
Obourg,109,1.5724721704243657,1.9057149794461761
Obourg-Marchandises,109,1.6798999591670069,1.6825569129206792
Okegem,39,2.3091677655677656,3.1969381202568593
Olen,70,2.6920181760150515,3.4949472020446597
Olne,130,2.4380414952988547,2.437608761361919
Oostende,145,3.512924907718583,1.4380282458149299
Oostende-Perron T.O.P.,71,3.6508527131782946,3.7956589147286822
Oostende-T.W.,4,3.5208333333333333,3.5208333333333333
Oostende-Zeehaven,4,3.6166666666666667,3.6166666666666667
Oostkamp,209,2.1619342862341088,2.2885063643595863
Opwijk,147,2.6859025160271898,2.6607172357566591
Opzullik,87,2.9708390931711363,3.9938888122499655
Ottignies,390,2.3802411823553473,2.4213930421473982
Ottignies-Relais,136,1.5124768775434702,1.5123412257984955
Oudegem,181,1.8904533248372855,2.2290340909090909
Oudenaarde,193,2.3658884370821166,1.8128999353826272
Oud-Heverlee,144,1.5326957966664971,1.8277310710282279
Ougrée,107,1.2288216934949443,1.9378822654340665
Overpelt,35,3.6261207551581039,4.4967767846711064
Paliseul,30,1.4947516867603141,2.289113275054406
Papegem,37,4.9779537456008044,5.0345731758398258
Pecrot,145,0.81400621222863702333,1.6723123425692695
Pepinster,158,2.5841999724876459,2.7927394988167681
Pepinster-Cité,33,1.00804683607374190333,2.2862146050670641
Péruwelz,109,1.5814520870076426,2.6693218933070662
Philippeville,30,0.54636131371821815667,1.4934509852318072
Piéton,111,1.5644746044234636,1.668235797230172
Poix-Saint-Hubert,32,1.5300691587670661,2.9224503825920612
Pont-à-Celles,94,1.0323295905636838,2.1196701271345821
Pont-de-Seraing,116,2.6365279472233519,2.9916536925472145
Poperinge,37,3.1395852228066993,1.6458057207589918
Poulseur,35,3.0200267737617135,3.7082824847454236
Profondsart,140,2.2248127861130957,2.5219827776161894
Pry,30,1.7589248751978571,1.8127637130801688
Puurs,124,2.0267579823580569,1.942919669904941
Quaregnon,178,2.6545754189337417,3.4631322641386923
Quévy,61,2.4014243654014482,0.94678087349397590333
Quiévrain,60,4.0903108117589279,1.5122030651340996
Rebaix,37,3.211120434077306,4.8346709111725447
Remicourt,131,2.6454273107670265,3.196497502270663
Rhisnes,103,2.1739930067532824,2.3998714697011242
Rhisnes-Sas,103,2.5988648320980877,2.5988648320980877
Rivage,35,3.2805362001459951,3.4409223381354529
Rivage-Marchandises,35,3.1901423273529117,3.1729012098121783
Rixensart,140,2.2612776673293572,2.5682258476779749
Rochefort-Jemelle,71,2.1289259927797834,1.8100848308963054
Roeselare,151,1.8540363602110023,2.3252235323593429
Ronet,143,1.6929989809689058,2.0668528174167581
Ronet-Vorming,77,3.1698826291079812,3.1698826291079812
Ronse,46,1.5840480214054359,0.804836406531321785
Roux,200,2.8882428896081537,2.920591038537504
Ruisbroek,303,2.6067671677841169,2.8669245688162361
Ruisbroek-Sauvegarde,87,1.071755142369532,2.1714253827954109
Saint-Denis-Bovesse,103,2.5367909321626998,2.8268203689767622
Saint-Ghislain,178,2.6560414326306747,2.7588330641180958
Sart-Bernard,33,1.4075197665343242,1.8690295997309115
Schaarbeek,905,2.3072275305692894,2.3163736815670517
Schaarbeek-Josaphat,246,1.9621154774840034,1.9504638935670608
Schaarbeek-NOS,30,0.94507843137254902,0.94611307420494699667
Schaarbeek-P.C.I.,17,11.5753968253968254,11.5753968253968254
Schaarbeek-Perron P.C.I.,260,8.0167316439246264,7.9934697855750487
Schaarbeek-Sas K/C,20,5.3392592592592593,5.3392592592592593
Scheldewindeke,38,2.8574386891895498,2.8236196728311051
Schelle,87,2.6633159213487918,2.701067396655632
