route,train,departure
L B5-2,3580,2023-01-02 08:34:00.000000 +00:00
L B7,3480,2023-01-02 08:35:00.000000 +00:00
L A3,2980,2023-01-02 08:35:00.000000 +00:00
L A2,2359,2023-01-02 08:36:00.000000 +00:00
L B4,2181,2023-01-02 08:37:00.000000 +00:00
IC 26,3209,2023-01-02 08:38:00.000000 +00:00
L B4,2159,2023-01-02 08:38:00.000000 +00:00
IC 19-1,931,2023-01-02 08:38:00.000000 +00:00
L B8-1,3981,2023-01-02 08:39:00.000000 +00:00
L B9,3259,2023-01-02 08:40:00.000000 +00:00
L B2-1,3681,2023-01-02 08:41:00.000000 +00:00
L C1,4581,2023-01-02 08:41:00.000000 +00:00
IC 15,4930,2023-01-02 08:41:00.000000 +00:00
L 26,4480,2023-01-02 08:42:00.000000 +00:00
IC 05,4531,2023-01-02 08:43:00.000000 +00:00
IC 13,5109,2023-01-02 08:43:00.000000 +00:00
IC 19-1,909,2023-01-02 08:43:00.000000 +00:00
L A2,2380,2023-01-02 08:43:00.000000 +00:00
IC 07,2032,2023-01-02 08:46:00.000000 +00:00
IC 12,432,2023-01-02 08:48:00.000000 +00:00
IC 28,3009,2023-01-02 08:51:00.000000 +00:00
L B2-1,3659,2023-01-02 08:51:00.000000 +00:00
IC 28,3032,2023-01-02 08:52:00.000000 +00:00
L 36,1659,2023-01-02 08:53:00.000000 +00:00
IC 07,2009,2023-01-02 08:53:00.000000 +00:00
IC 13,5131,2023-01-02 08:55:00.000000 +00:00
L B20-2,6459,2023-01-02 08:55:00.000000 +00:00
IC 14,1732,2023-01-02 08:56:00.000000 +00:00
L A4-2,2680,2023-01-02 08:56:00.000000 +00:00
L 03,2480,2023-01-02 08:56:00.000000 +00:00
L 10-2,980,2023-01-02 08:56:00.000000 +00:00
L C2-1,4281,2023-01-02 08:57:00.000000 +00:00
IC 18,2410,2023-01-02 09:02:00.000000 +00:00
L 31,4060,2023-01-02 09:04:00.000000 +00:00
L 08,6280,2023-01-02 09:04:00.000000 +00:00
L 13-1,5880,2023-01-02 09:05:00.000000 +00:00
L 16,5780,2023-01-02 09:05:00.000000 +00:00
L 37-1,4409,2023-01-02 09:08:00.000000 +00:00
L C1,4560,2023-01-02 09:10:00.000000 +00:00
L G1,781,2023-01-02 09:11:00.000000 +00:00
L B9,3282,2023-01-02 09:12:00.000000 +00:00
L 10-1,6180,2023-01-02 09:13:00.000000 +00:00
L 03,2460,2023-01-02 09:13:00.000000 +00:00
IC 14,1710,2023-01-02 09:13:00.000000 +00:00
L B5-2,3560,2023-01-02 09:14:00.000000 +00:00
L 11,6082,2023-01-02 09:14:00.000000 +00:00
L G1,760,2023-01-02 09:14:00.000000 +00:00
IC 15,4910,2023-01-02 09:17:00.000000 +00:00
IC 12,410,2023-01-02 09:18:00.000000 +00:00
L A4-2,2660,2023-01-02 09:19:00.000000 +00:00
IC 18,2432,2023-01-02 09:20:00.000000 +00:00
L 13-1,5860,2023-01-02 09:21:00.000000 +00:00
IC 26,3233,2023-01-02 09:24:00.000000 +00:00
L A3,2960,2023-01-02 09:24:00.000000 +00:00
IC 05,4510,2023-01-02 09:24:00.000000 +00:00
L B20-2,6481,2023-01-02 09:25:00.000000 +00:00
L 36,1681,2023-01-02 09:27:00.000000 +00:00
L B8-1,3960,2023-01-02 09:27:00.000000 +00:00
L 13-2,5982,2023-01-02 09:32:00.000000 +00:00
IC 13,5132,2023-01-02 09:34:00.000000 +00:00
L B7,3460,2023-01-02 09:34:00.000000 +00:00
L B5-2,3581,2023-01-02 09:34:00.000000 +00:00
L 31,4080,2023-01-02 09:34:00.000000 +00:00
L A3,2981,2023-01-02 09:35:00.000000 +00:00
L B7,3481,2023-01-02 09:35:00.000000 +00:00
L 15,5582,2023-01-02 09:35:00.000000 +00:00
L A2,2360,2023-01-02 09:36:00.000000 +00:00
L B4,2182,2023-01-02 09:37:00.000000 +00:00
L B4,2160,2023-01-02 09:38:00.000000 +00:00
IC 19-1,932,2023-01-02 09:38:00.000000 +00:00
IC 26,3210,2023-01-02 09:38:00.000000 +00:00
L B8-1,3982,2023-01-02 09:39:00.000000 +00:00
L B9,3260,2023-01-02 09:40:00.000000 +00:00
L B2-1,3682,2023-01-02 09:41:00.000000 +00:00
L 15,5560,2023-01-02 09:41:00.000000 +00:00
IC 15,4931,2023-01-02 09:41:00.000000 +00:00
IC 05,4532,2023-01-02 09:42:00.000000 +00:00
IC 19-1,910,2023-01-02 09:43:00.000000 +00:00
L A2,2381,2023-01-02 09:43:00.000000 +00:00
IC 13,5110,2023-01-02 09:43:00.000000 +00:00
IC 07,2033,2023-01-02 09:46:00.000000 +00:00
IC 28,3010,2023-01-02 09:51:00.000000 +00:00
L B2-1,3660,2023-01-02 09:51:00.000000 +00:00
IC 28,3033,2023-01-02 09:52:00.000000 +00:00
L 11,6060,2023-01-02 09:52:00.000000 +00:00
L 36,1660,2023-01-02 09:53:00.000000 +00:00
IC 07,2010,2023-01-02 09:53:00.000000 +00:00
L C2-1,4260,2023-01-02 09:54:00.000000 +00:00
L 26,4460,2023-01-02 09:54:00.000000 +00:00
L B20-2,6460,2023-01-02 09:55:00.000000 +00:00
L A4-2,2681,2023-01-02 09:56:00.000000 +00:00
IC 14,1733,2023-01-02 09:56:00.000000 +00:00
L S63-2,19833,2023-01-02 09:56:00.000000 +00:00
L 03,2481,2023-01-02 09:56:00.000000 +00:00
L 13-2,5960,2023-01-02 09:57:00.000000 +00:00
IC 32,810,2023-01-02 09:58:00.000000 +00:00
IC 18,2411,2023-01-02 10:02:00.000000 +00:00
L 31,4061,2023-01-02 10:04:00.000000 +00:00
L 08,6261,2023-01-02 10:05:00.000000 +00:00
L 37-1,4432,2023-01-02 10:07:00.000000 +00:00
L C4,3932,2023-01-02 10:07:00.000000 +00:00
L 19,4361,2023-01-02 10:10:00.000000 +00:00
L 01,4982,2023-01-02 10:10:00.000000 +00:00
L B9,3283,2023-01-02 10:12:00.000000 +00:00
IC 14,1711,2023-01-02 10:13:00.000000 +00:00
L 03,2461,2023-01-02 10:13:00.000000 +00:00
L B5-2,3561,2023-01-02 10:14:00.000000 +00:00
IC 32,832,2023-01-02 10:16:00.000000 +00:00
L 10-1,6161,2023-01-02 10:16:00.000000 +00:00
IC 15,4911,2023-01-02 10:17:00.000000 +00:00
IC 12,411,2023-01-02 10:18:00.000000 +00:00
L A4-2,2661,2023-01-02 10:19:00.000000 +00:00
IC 18,2433,2023-01-02 10:20:00.000000 +00:00
L C4,3911,2023-01-02 10:21:00.000000 +00:00
L 19,4381,2023-01-02 10:23:00.000000 +00:00
L A3,2961,2023-01-02 10:24:00.000000 +00:00
IC 05,4511,2023-01-02 10:24:00.000000 +00:00
IC 26,3234,2023-01-02 10:24:00.000000 +00:00
L S63-2,19832,2023-01-02 10:24:00.000000 +00:00
L 16,5761,2023-01-02 10:25:00.000000 +00:00
L B20-2,6482,2023-01-02 10:25:00.000000 +00:00
L 36,1682,2023-01-02 10:27:00.000000 +00:00
L B8-1,3961,2023-01-02 10:27:00.000000 +00:00
L 01,4961,2023-01-02 10:28:00.000000 +00:00
L 10-2,961,2023-01-02 10:28:00.000000 +00:00
L B7,3461,2023-01-02 10:34:00.000000 +00:00
L B5-2,3582,2023-01-02 10:34:00.000000 +00:00
L 31,4081,2023-01-02 10:34:00.000000 +00:00
