avg_departure_delay_s,sum_departure_delay_s,avg_arrival_delay_s,sum_arrival_delay_s,arrival_count,departure_count,avg_time_saving_s,sum_time_saving_s,station
137.8349772802837194,1243685,137.8349772802837194,1243685,9023,9023,0,0,333
138.4303254892585129,8106203,125.0330547437146422,7315559,58509,58558,-13.4147313335841571,-784413,335
165.2057593065784859,13189367,158.2527083960276858,12620970,79752,79836,-7.0667227186025499,-563133,336
130.1776670817766708,1254392,51.6047673571354221,495767,9607,9636,-78.7610462692788662,-755791,337
129.9341152850425318,2459263,115.4274354923644023,2191967,18990,18927,-14.0143601744495266,-263498,342
165.6691949434464405,6225020,116.7650338829304733,4376587,37482,37575,-48.9503538523167312,-1832946,345
47.6419469026548673,269177,129.2371053147676015,658980,5099,5650,,,346
192.3295364934723561,2195057,144.156859300895837,1641370,11386,11413,-48.1029903254177661,-546931,347
106.6540734109221128,1191326,69.9319550561797753,777993,11125,11170,-36.7748278361725263,-405847,348
136.3242114615726344,1534329,83.5254191937210132,936487,11212,11255,-53.1022483940042827,-595170,351
179.2097081218274112,1694607,132.1293285472972973,1251529,9472,9456,-46.658440591426444,-438636,352
76.188463260216154,1191359,76.188463260216154,1191359,15637,15637,0,0,358
170.3668832817180281,6711433,172.4690726945800154,6714221,38930,39394,-13.2126568852748807,-448464,360
168.5350085067399555,5151104,146.284189852700491,4468982,30550,30564,-22.2513354963458198,-678955,361
134.7521110377917706,12048321,111.3792372881355932,9935919,89208,89411,-23.6126271633186402,-2105231,363
180.9557444680585073,5789860,164.8575226775101658,5270495,31970,31996,-16.1677984665936473,-516642,364
167.8553916171181091,6860082,160.5063278768629367,6569524,40930,40869,-7.0782766395451426,-288822,365
156.3415021097046414,4631617,164.1070718641555204,4870862,29681,29625,8.1676697322153097,241567,366
144.6592888014653469,16032155,136.531463544534614,15124819,110779,110827,-8.1264228670545297,-899530,368
92.7775412453432677,174329,105.1166359729895641,171235,1629,1879,,,369
212.1606585296622197,747442,89.7790864694053433,312521,3481,3523,-122.2186153404194197,-425443,371
225.1080620931397096,2247704,183.0068286804579233,1822382,9958,9985,-42.3255158530447911,-420504,375
85.3046672428694901,394790,211.1625027156202477,971981,4603,4628,,,376
131.273611411281608,2429612,105.6404822403633022,1954032,18497,18508,-25.6082814614343708,-473113,378
145.0426757028751959,11385705,131.7611070091911297,10350362,78554,78499,-13.2149251437572839,-1031861,380
48.7019938925812826,271124,261.506198347107438,1392259,5324,5567,,,382
145.3233371156859567,8068497,102.6167163101362939,5684453,55395,55521,-42.8398757158082989,-2371487,383
225.1877568196445369,9097135,152.2143176067867242,6136368,40314,40398,-73.0875347360063517,-2945720,384
112.2330621884019942,2138601,92.9644096309536326,1768369,19022,19055,-19.3566996213714767,-368087,391
132.5822914421211468,4920394,113.1259349264209532,4189619,37035,37112,-19.6160164271047228,-726028,392
155.798402434385698,1638376,82.7002862595419847,866699,10480,10516,-73.1864503816793893,-766994,395
179.7439048176321436,3686188,146.1123091184075718,2994864,20497,20508,-33.5689436137984951,-687022,399
